Nombre;Codigo;Clase
methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1];EC:5.1.99.1;Isomerases
propionyl-CoA carboxylase alpha chain [EC:6.4.1.3];EC:6.4.1.3;Ligases
3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4];EC:3.1.2.4;Hydrolases
agmatinase [EC:3.5.3.11];EC:3.5.3.11;Hydrolases
glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41];EC:1.2.1.41;Oxidoreductases
glutamate 5-kinase [EC:2.7.2.11];EC:2.7.2.11;Transferases
ornithine decarboxylase [EC:4.1.1.17];EC:4.1.1.17;Lyases
proline dehydrogenase [EC:1.5.5.2];EC:1.5.5.2;Oxidoreductases
pyrroline-5-carboxylate reductase [EC:1.5.1.2];EC:1.5.1.2;Oxidoreductases
4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52];EC:4.1.2.52;Lyases
succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20];EC:1.2.1.16 1.2.1.79 1.2.1.20;Oxidoreductases
phenylalanine-4-hydroxylase [EC:1.14.16.1];EC:1.14.16.1;Oxidoreductases
kynureninase [EC:3.7.1.3];EC:3.7.1.3;Hydrolases
kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64];EC:2.6.1.7 4.4.1.13 2.6.1.64;Transferases
ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14];EC:2.7.7.14;Transferases
ethanolaminephosphotransferase [EC:2.7.8.1];EC:2.7.8.1;Transferases
methionyl-tRNA synthetase [EC:6.1.1.10];EC:6.1.1.10;Ligases
O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase [EC:2.9.1.2];EC:2.9.1.2;Transferases
selenide, water dikinase [EC:2.7.9.3];EC:2.7.9.3;Transferases
5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9];EC:3.5.2.9;Hydrolases
trypanothione synthetase/amidase [EC:6.3.1.9 3.5.1.-];EC:6.3.1.9 3.5.1.-;Ligases
glutathione peroxidase [EC:1.11.1.9];EC:1.11.1.9;Oxidoreductases
cytosolic tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin [EC:1.11.1.15];EC:1.11.1.15;Oxidoreductases
trypanothione-disulfide reductase [EC:1.8.1.12];EC:1.8.1.12;Oxidoreductases
leucyl aminopeptidase [EC:3.4.11.1];EC:3.4.11.1;Hydrolases
glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7];EC:4.3.2.7;Lyases
beta-fructofuranosidase [EC:3.2.1.26];EC:3.2.1.26;Hydrolases
dolichyldiphosphatase [EC:3.6.1.43];EC:3.6.1.43;Hydrolases
undefined_Enzimalma00510;0;No informacion
UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15];EC:2.7.8.15;Transferases
alpha-1,3-mannosyltransferase [EC:2.4.1.258];EC:2.4.1.258;Transferases
beta-1,4-mannosyltransferase [EC:2.4.1.142];EC:2.4.1.142;Transferases
dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18];EC:2.4.99.18;Transferases
alpha-1,3/alpha-1,6-mannosyltransferase [EC:2.4.1.132 2.4.1.257];EC:2.4.1.132 2.4.1.257;Transferases
alpha-1,2-mannosyltransferase [EC:2.4.1.131];EC:2.4.1.131;Transferases
mannosyl-oligosaccharide glucosidase [EC:3.2.1.106];EC:3.2.1.106;Hydrolases
mannosyl-oligosaccharide alpha-1,3-glucosidase [EC:3.2.1.207];EC:3.2.1.207;Hydrolases
alpha-1,2-mannosyltransferase [EC:2.4.1.259 2.4.1.261];EC:2.4.1.259 2.4.1.261;Transferases
beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141];EC:2.4.1.141;Transferases
N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25];EC:3.5.1.25;Hydrolases
phosphoacetylglucosamine mutase [EC:5.4.2.3];EC:5.4.2.3;Isomerases
glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4];EC:2.3.1.4;Transferases
UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine diphosphorylase [EC:2.7.7.23 2.7.7.83];EC:2.7.7.23 2.7.7.83;Transferases
glucosamine-6-phosphate deaminase [EC:3.5.99.6];EC:3.5.99.6;Hydrolases
glycerol kinase [EC:2.7.1.30];EC:2.7.1.30;Transferases
glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42];EC:2.3.1.15 2.3.1.42;Transferases
2-acylglycerol O-acyltransferase 2 [EC:2.3.1.22];EC:2.3.1.22;Transferases
acylglycerol lipase [EC:3.1.1.23];EC:3.1.1.23;Hydrolases
lipase ATG15 [EC:3.1.1.3];EC:3.1.1.3;Hydrolases
diacylglycerol kinase (ATP) [EC:2.7.1.107];EC:2.7.1.107;Transferases
phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158];EC:2.3.1.158;Transferases
phosphatidate phosphatase LPIN [EC:3.1.3.4];EC:3.1.3.4;Hydrolases
phosphatidylinositol phospholipase C, delta [EC:3.1.4.11];EC:3.1.4.11;Hydrolases
1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68];EC:2.7.1.68;Transferases
inositol polyphosphate 5-phosphatase INPP5B/F [EC:3.1.3.36];EC:3.1.3.36;Hydrolases
CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11];EC:2.7.8.11;Transferases
phosphatidylinositol 4-kinase A [EC:2.7.1.67];EC:2.7.1.67;Transferases
phosphatidylinositol 3-kinase [EC:2.7.1.137];EC:2.7.1.137;Transferases
myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25];EC:3.1.3.25;Hydrolases
myo-inositol-1-phosphate synthase [EC:5.5.1.4];EC:5.5.1.4;Isomerases
inositol-1,4,5-trisphosphate 5-phosphatase [EC:3.1.3.56];EC:3.1.3.56;Hydrolases
GPI-anchor transamidase subunit K;K;No informacion
GPI ethanolamine phosphate transferase 3 subunit O [EC:2.7.-.-];EC:2.7.-.-;No informacion
N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89];EC:3.5.1.89;Hydrolases
undefined_Enzimalma00563;3;No informacion
glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8];EC:1.1.1.8;Oxidoreductases
